,Bag_Number,Plot_ID,Block,Fragment_location,Fragment_Type,Habitat_Treatment,Plot_Type,Buoyant_weight_Initial,Salinity_initial,Temperature_Initial,Initial_SW_density.kg.m3.,Buoyantweight_final,Temp_Final,Salin_final,Tag_number,Final_SW_density.kg.m3.,Plot_Recovered,Consolidation,Initial_est_weight,Initial_est_weight_corr,Final_est_weight,Final_est_weight_corr,Diff_weight,z_correct,Diff_weight_corr,proplost_corr,frag_recover
99,73,B7_DC1_EN,7,Center,DCOR,DCOR,Enclosure,13.61,34,26.9,1022,9.24,26.7,33.1,351,1021.38,yes,No,20.90005241,20.90005241,14.18469889,14.18469889,6.715353519,0.031578182,6.715353519,0.321307975,1
100,74,B7_DC2_EN,7,Corner,DCOR,DCOR,Enclosure,7.87,34,26.9,1022,NA,NA,NA,351,NA,yes,No,12.08548218,12.08548218,NA,NA,NA,0.048548759,NA,NA,0
101,29,B7_Z_EN,7,Center,ZPUL,ZPUL,Enclosure,4.96,33.9,28.1,1021.57,5.08,26.7,33.1,352,1021.38,yes,No,7.615055307,7.268857925,7.79851411,7.443976281,-0.183458802,0.045462228,-0.175118356,-0.024091592,1
102,137,B7_Z_EN,7,Corner,DCOR,ZPUL,Enclosure,11.62,34,26.5,1022.12,NA,NA,NA,352,NA,yes,No,17.84525232,17.84525232,NA,NA,NA,0.032058991,NA,NA,0
103,93,B7_DC1_PC,7,Center,DCOR,DCOR,Partial,9.42,34,26.9,1022,2.8,26.7,33.1,353,1021.38,yes,No,14.46572327,14.46572327,4.298393604,4.298393604,10.16732967,0.058553931,10.16732967,0.702856641,1
104,94,B7_DC2_PC,7,Corner,DCOR,DCOR,Partial,4.66,34,26.8,1022.03,NA,NA,NA,353,NA,yes,No,7.156192183,7.156192183,NA,NA,NA,0.019537162,NA,NA,0
105,34,B7_Z_PC,7,Center,ZPUL,ZPUL,Partial,15.93,33.9,27.9,1021.6,14.67,26.7,33.1,354,1021.38,yes,No,24.45760847,23.88763424,22.5205122,21.99568118,1.937096265,0.023304577,1.891953055,0.079202195,1
106,147,B7_Z_PC,7,Corner,DCOR,ZPUL,Partial,5.79,34,26.5,1022.12,NA,NA,NA,354,NA,yes,No,8.891911441,8.891911441,NA,NA,NA,0.017473487,NA,NA,0
107,53,B7_DC1_EX,7,Center,DCOR,DCOR,Exclosure,8.68,34,26.9,1022,4.27,26.7,33.1,355,1021.38,yes,No,13.3293501,13.3293501,6.555050246,6.555050246,6.774299859,0.041008434,6.774299859,0.508224317,1
108,54,B7_DC2_EX,7,Corner,DCOR,DCOR,Exclosure,6.34,34,26.9,1022,NA,NA,NA,355,NA,yes,No,9.735953878,9.735953878,NA,NA,NA,0.045069767,NA,NA,0
109,113,B7_DC1_OP,7,Center,DCOR,DCOR,Open,8.85,34,26.8,1022,NA,NA,NA,356,NA,yes,No,13.59040881,13.59040881,NA,NA,NA,0.009383831,NA,NA,0
110,114,B7_DC2_OP,7,Corner,DCOR,DCOR,Open,4.65,34,26.8,1022,NA,NA,NA,356,NA,yes,No,7.14072327,7.14072327,NA,NA,NA,0.007028433,NA,NA,0
111,33,B8_Z_PC,8,Center,ZPUL,ZPUL,Partial,11.16,33.9,27.9,1021.6,5.45,27.3,33,357,1021.12,yes,No,17.13414379,15.77457224,8.365376556,7.701595038,8.768767229,0.079348672,8.072977198,0.511771545,1
