Bag_Number,Plot_ID,Block,Fragment_location,Fragment_Type,Habitat_Treatment,Plot_Type,Buoyant_weight_Initial,Salinity_initial,Temperature_Initial,Broken_Frag_piece_weight_initial,Broke_Temp_initial,Broke_Sal_initial,Initial_SW_density.kg.m3.,Buoyantweight_final,Temp_Final,Salin_final,Tag_number,Final_SW_density.kg.m3.,Plot_Recovered,Consolidation,Initial_est_weight,Initial_est_weight_corr,Final_est_weight,Final_est_weight_corr,Diff_weight,z_correct,Diff_weight_corr,proplost_corr,frag_recover,Fragment_Type_dummy,Ex_dummy,Enc_dummy,Partial_dummy,Open_dummy,Frag_loc_dummy,Hab_treat_dummy
14,B4_Z_PC,4,Center,ZPUL,ZPUL,Partial,9.21,33.9,28,NA,NA,NA,1021.57,5.67,26.8,33,329,1021.28,yes,No,14.14005229,13.57455071,8.703791022,8.35570125,5.436261272,0.039992892,5.218849463,0.384458357,1,1,0,0,1,0,0,1
48,B4_DC2_EX,4,Corner,DCOR,DCOR,Exclosure,7.3,34,27,NA,NA,NA,1021.97,3.42,26.8,33,331,1021.28,yes,No,11.20999146,11.20999146,5.249905696,5.249905696,5.960085761,0.073719229,5.960085761,0.531676209,1,0,1,0,0,0,1,0
20,B5_Z_OP,5,Center,ZPUL,ZPUL,Open,34.48,34,27.7,1.39,28.6,33.1,1020.77,24.95,27.1,33.1,334,1021.26,yes,No,52.91473526,49.08674638,38.29934931,35.52867527,14.61538595,0.072342588,13.55807111,0.276206351,1,1,0,0,0,1,0,1
135,B5_Z_EN,5,Corner,DCOR,ZPUL,Enclosure,13.97,33.6,26.6,NA,NA,NA,1021.79,5.54,26.7,33.1,335,1021.38,yes,No,21.45052169,21.45052169,8.504678773,8.504678773,12.94584292,0.046791775,12.94584292,0.603521122,1,0,0,1,0,0,1,1
10,B5_Z_EN,5,Center,ZPUL,ZPUL,Enclosure,8.41,33.9,28.31,NA,NA,NA,1021.47,5.01,26.8,33.1,335,1021.35,yes,No,12.91114104,12.77820225,7.690933382,7.611744153,5.220207653,0.010296439,5.166458101,0.404318072,1,1,0,1,0,0,0,1
125,B5_Z_EX,5,Corner,DCOR,ZPUL,Exclosure,8.08,33.6,28.6,NA,NA,NA,1021.15,3.93,26.7,33.1,336,1021.38,yes,No,12.40244126,12.40244126,6.033102451,6.033102451,6.369338809,0.067014436,6.369338809,0.513555249,1,0,1,0,0,0,1,1
5,B5_Z_EX,5,Center,ZPUL,ZPUL,Exclosure,40.84,33.5,28.4,NA,NA,NA,1021.14,40.01,27.3,33,336,1021.12,yes,No,62.68725836,58.63995022,61.41260844,57.44759614,1.274649923,0.064563489,1.192354076,0.020333477,1,1,1,0,0,0,0,1
15,B5_Z_PC,5,Center,ZPUL,ZPUL,Partial,9.14,33.9,27.9,NA,NA,NA,1021.6,8.37,26.7,33.1,340,1021.38,yes,No,14.03280235,14.34670449,12.84912659,13.13655089,1.183675753,-0.02236917,1.210153598,0.084350632,1,1,0,0,1,0,0,1
21,B6_Z_EX,6,Center,ZPUL,ZPUL,Exclosure,12.95,33.5,28.4,NA,NA,NA,1021.14,11.57,26.8,33,341,1021.28,yes,No,19.87757091,18.41509734,17.76064588,16.45392307,2.116925028,0.073574059,1.961174262,0.106498175,1,1,1,0,0,0,0,1
40,B6_Z_OP,6,Center,ZPUL,ZPUL,Open,15.61,33.9,27.7,NA,NA,NA,1021.67,10.86,26.7,33.1,342,1021.38,yes,No,23.96718597,23.15853,16.67162662,16.10912377,7.295559349,0.03374013,7.049406227,0.304397828,1,1,0,0,0,1,0,1
35,B6_Z_PC,6,Center,ZPUL,ZPUL,Partial,47.97,33.9,27.9,NA,NA,NA,1021.6,52.51,27.3,33,345,1021.12,yes,Yes,73.64918256,74.58010426,80.59925192,81.61802212,-6.950069356,-0.012639946,-7.037917858,-0.09436723,1,1,0,0,1,0,0,1
72,B6_DC2_EN,6,Corner,DCOR,DCOR,Enclosure,15.4,34,26.9,NA,NA,NA,1022,4.17,27.1,33.1,347,1021.26,yes,No,23.64884696,23.64884696,6.401133732,6.401133732,17.24771323,0.057410473,17.24771323,0.729325758,1,0,0,1,0,0,1,0
22,B7_Z_EX,7,Center,ZPUL,ZPUL,Exclosure,15.2,33.4,28.3,NA,NA,NA,1021.1,7.71,26.7,33.1,350,1021.38,yes,No,23.33071402,22.94002528,11.83593382,11.63773302,11.49478021,0.016745683,11.30229226,0.492688745,1,1,1,0,0,0,0,1
127,B7_Z_EX,7,Corner,DCOR,ZPUL,Exclosure,11.73,34,26.7,NA,NA,NA,1022.06,2.77,26.7,33.1,350,1021.38,yes,No,18.01361678,18.01361678,4.252339387,4.252339387,13.76127739,0.092113461,13.76127739,0.763937501,1,0,1,0,0,0,1,1
73,B7_DC1_EN,7,Center,DCOR,DCOR,Enclosure,13.61,34,26.9,NA,NA,NA,1022,9.24,26.7,33.1,351,1021.38,yes,No,20.90005241,20.90005241,14.18469889,14.18469889,6.715353519,0.031578182,6.715353519,0.321307975,1,0,0,1,0,0,0,0
29,B7_Z_EN,7,Center,ZPUL,ZPUL,Enclosure,4.96,33.9,28.1,NA,NA,NA,1021.57,5.08,26.7,33.1,352,1021.38,yes,No,7.615055307,7.268857925,7.79851411,7.443976281,-0.183458802,0.045462228,-0.175118356,-0.024091592,1,1,0,1,0,0,0,1
93,B7_DC1_PC,7,Center,DCOR,DCOR,Partial,9.42,34,26.9,NA,NA,NA,1022,2.8,26.7,33.1,353,1021.38,yes,No,14.46572327,14.46572327,4.298393604,4.298393604,10.16732967,0.058553931,10.16732967,0.702856641,1,0,0,0,1,0,0,0
34,B7_Z_PC,7,Center,ZPUL,ZPUL,Partial,15.93,33.9,27.9,NA,NA,NA,1021.6,14.67,26.7,33.1,354,1021.38,yes,No,24.45760847,23.88763424,22.5205122,21.99568118,1.937096265,0.023304577,1.891953055,0.079202195,1,1,0,0,1,0,0,1
53,B7_DC1_EX,7,Center,DCOR,DCOR,Exclosure,8.68,34,26.9,NA,NA,NA,1022,4.27,26.7,33.1,355,1021.38,yes,No,13.3293501,13.3293501,6.555050246,6.555050246,6.774299859,0.041008434,6.774299859,0.508224317,1,0,1,0,0,0,0,0
33,B8_Z_PC,8,Center,ZPUL,ZPUL,Partial,11.16,33.9,27.9,NA,NA,NA,1021.6,5.45,27.3,33,357,1021.12,yes,No,17.13414379,15.77457224,8.365376556,7.701595038,8.768767229,0.079348672,8.072977198,0.511771545,1,1,0,0,1,0,0,1
115,B8_DC1_OP,8,Center,DCOR,DCOR,Open,7.2,34,26.8,NA,NA,NA,1022.03,0.67,27.1,33.1,358,1021.26,yes,No,11.05677762,11.05677762,1.028479521,1.028479521,10.0282981,0.092118779,10.0282981,0.906981984,1,0,0,0,0,1,0,0
116,B8_DC2_OP,8,Corner,DCOR,DCOR,Open,15.27,34,26.8,NA,NA,NA,1022.03,2.75,27.1,33.1,358,1021.26,yes,No,23.44958254,23.44958254,4.221371166,4.221371166,19.22821137,0.030184266,19.22821137,0.819980967,1,0,0,0,0,1,1,0
138,B8_Z_EN,8,Corner,DCOR,ZPUL,Enclosure,7.05,34,26.5,NA,NA,NA,1022.12,20.9,27.1,33.1,359,1021.26,yes,Yes,10.8269388,10.8269388,32.08242086,32.08242086,-21.25548206,0.028284138,-21.25548206,-1.963203307,1,0,0,1,0,0,1,1
28,B8_Z_EN,8,Center,ZPUL,ZPUL,Enclosure,11.94,33.9,28.1,NA,NA,NA,1021.57,10.7,27.3,33,359,1021.12,yes,No,18.3314033,18.07116925,16.42376682,16.19061372,1.907636484,0.014196079,1.880555526,0.104063854,1,1,0,1,0,0,0,1
55,B8_DC1_EX,8,Center,DCOR,DCOR,Exclosure,13.17,34,26.8,NA,NA,NA,1022.03,6.45,27.3,33,360,1021.12,yes,No,20.22468907,20.22468907,9.900308034,9.900308034,10.32438103,0.048509099,10.32438103,0.510484042,1,0,1,0,0,0,0,0
56,B8_DC2_EX,8,Corner,DCOR,DCOR,Exclosure,17.82,34,26.8,NA,NA,NA,1022.03,4.05,27.3,33,360,1021.12,yes,No,27.36552462,27.36552462,6.216472486,6.216472486,21.14905213,0.033583131,21.14905213,0.772835618,1,0,1,0,0,0,1,0
95,B8_DC1_PC,8,Center,DCOR,DCOR,Partial,10.86,34,26.8,NA,NA,NA,1022.03,1.68,27.3,33,362,1021.12,yes,No,16.67730625,16.67730625,2.578684883,2.578684883,14.09862136,0.024614176,14.09862136,0.845377614,1,0,0,0,1,0,0,0
23,B8_Z_EX,8,Center,ZPUL,ZPUL,Exclosure,17.78,33.5,28.3,NA,NA,NA,1021.17,16.81,27.3,33,363,1021.12,yes,No,27.29179655,24.53812376,25.80219815,23.19882205,1.489598398,0.100897454,1.339301712,0.054580445,1,1,1,0,0,0,0,1
128,B8_Z_EX,8,Corner,DCOR,ZPUL,Exclosure,10.2,34,26.7,NA,NA,NA,1022.06,9.61,27.3,33,363,1021.12,yes,No,15.66401459,15.66401459,14.7506915,14.7506915,0.913323087,0.03081621,0.913323087,0.058307089,1,0,1,0,0,0,1,1
